"Husstandsopdelte forbrugerprisindeks (2015=100) efter enhed,"
"husstandsgrupper, varegruppe og tid"

" "," "," ","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12"
" "," ","05.4 Glas, service og husholdningsredskaber",1.1,2.1,0.3,-0.1,0.4,2.9,0.0,2.6,1.3,1.9,0.5,-2.1
" "," ","05.5 Værktøj og udstyr til hus og have",0.2,0.6,0.6,-1.2,-0.8,-0.5,0.3,-0.2,2.3,0.5,0.8,1.0
" "," ","05.6 Andre varer og tjenester til husholdningen",1.0,1.1,0.2,0.8,0.5,0.3,0.1,-0.1,0.3,-0.2,-0.3,-0.2
" "," ","06. Sundhed",1.1,1.1,1.3,1.6,1.5,1.5,1.0,0.9,0.9,0.3,-0.3,-0.5
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",0.3,0.3,0.8,1.0,0.9,0.9,-0.2,-0.2,-0.2,-0.7,-1.8,-2.4
" "," ","06.2 Ambulant behandling",1.7,1.7,1.7,2.1,2.1,2.1,2.1,2.1,2.1,1.2,1.2,1.2
" "," ","06.3 Hospitalstjenester",0.5,0.3,0.3,0.3,0.3,0.3,0.0,-0.3,-0.3,0.3,0.3,0.3
" "," ","07. Transport",-3.5,-1.7,-0.7,-0.3,0.3,-0.1,0.3,-1.0,-2.4,-1.9,-1.5,-0.6
" "," ","07.1 Køb af køretøjer",1.0,0.6,0.6,0.4,0.5,0.2,0.1,-0.1,-0.3,-0.6,0.0,-1.3
" "," ","07.2 Drift af personlige transportmidler",-6.7,-3.7,-1.9,-1.7,-1.2,-1.6,-1.1,-2.8,-4.9,-3.7,-3.2,-0.7
" "," ","07.3 Transporttjenester",1.2,0.8,0.0,1.6,3.7,1.9,2.4,2.2,2.7,2.1,1.2,0.6
" "," ","08. Kommunikation",-3.9,-4.0,-2.5,-2.6,-2.8,-4.9,-4.4,-4.8,-5.1,-4.8,-4.4,-3.5
" "," ","08.1 Posttjenester",8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
" "," ","08.2 Telefon- og telefaxudstyr",-9.6,-8.7,-6.8,-5.8,-3.2,-2.5,-2.2,-1.9,-1.9,-1.5,1.4,2.7
" "," ","08.3 Teletjenester",-3.7,-4.0,-2.6,-2.7,-3.2,-5.9,-5.6,-5.8,-6.3,-6.0,-5.7,-4.8
" "," ","09. Fritid og kultur",0.6,2.1,1.2,1.4,1.2,1.4,1.5,1.3,0.6,1.4,1.5,1.2
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-6.9,-5.4,-4.6,-3.0,-2.5,-3.4,-3.8,-5.5,-6.2,-7.2,-4.3,-3.5
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",6.7,5.0,4.8,0.4,0.2,0.0,0.2,0.1,0.0,-1.9,-1.3,-1.3
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",-0.1,-0.2,0.2,0.2,0.1,-1.9,-0.9,-0.5,-1.5,-1.7,-1.2,-0.9
" "," ","09.4 Fritids- og kulturtjenester",1.5,1.7,1.7,1.3,1.5,1.3,1.3,1.4,1.0,1.5,1.6,1.7
" "," ","09.5 Aviser, bøger og papirvarer",10.1,6.5,8.0,11.4,10.5,14.1,7.2,12.2,12.0,15.8,12.9,8.1
" "," ","09.6 Pakkerejser",1.1,3.9,2.2,-0.7,-0.3,1.4,0.4,1.1,0.7,2.2,3.2,2.4
" "," ","10. Uddannelse",3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.9,4.0,3.9,3.9,3.9
" "," ","11. Restauranter og hoteller",1.5,1.2,1.8,1.7,1.5,1.3,0.6,1.0,1.3,0.8,0.7,0.9
" "," ","11.1 Restauranter, cafeer og kantiner mv.",1.6,1.8,1.8,1.7,1.8,1.8,0.9,0.8,0.7,0.4,0.5,0.4
" "," ","11.2 Overnatningsfaciliteter",0.6,-4.4,1.4,-0.2,-4.2,-9.0,-3.9,0.9,2.8,2.9,2.2,5.4
" "," ","12. Andre varer og tjenester",2.1,2.1,2.3,2.2,2.2,2.2,3.7,3.9,4.0,3.9,4.2,4.1
" "," ","12.1 Personlig pleje",0.2,0.1,0.5,0.9,0.6,0.4,0.1,0.1,0.4,-0.7,0.9,0.3
" "," ","12.3 Andre personlige effekter",0.6,0.1,0.2,-0.1,0.5,0.6,1.4,1.7,1.9,1.5,0.6,0.5
" "," ","12.4 Daginstitutioner og social forsorg",-0.7,-0.7,-0.2,-0.2,-0.2,-0.2,-0.2,1.3,1.3,1.3,1.3,1.3
" "," ","12.5 Forsikring",2.3,2.3,2.3,1.8,1.8,1.8,2.5,2.5,2.5,1.8,1.8,1.8
" "," ","12.6 Finansielle tjenester",4.8,4.8,4.8,4.3,4.5,4.5,9.4,9.4,9.4,10.5,10.4,10.4
" "," ","12.7 Andre tjenester",1.8,1.8,2.4,2.6,2.6,2.6,2.5,2.5,2.2,2.4,2.4,2.0
" ","450.000 - 699.999 kr."
" "," ","00 Forbrugerprisindekset i alt",-0.3,0.1,0.5,0.4,0.5,0.5,0.7,0.5,0.3,0.3,0.2,0.3
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",0.4,0.3,1.2,1.4,1.1,1.3,1.0,0.8,1.6,1.2,0.7,1.0
" "," ","01.1 Fødevarer",0.7,0.2,1.1,1.2,1.4,1.8,1.0,1.1,1.7,1.3,1.1,1.7
" "," ","01.2 Ikke-alkoholiske drikkevarer",-2.2,1.0,1.6,2.5,-1.2,-2.4,-0.4,-1.6,0.6,0.7,-1.6,-4.0
" "," ","02. Alkoholiske drikkevarer og tobak",-0.3,-0.6,0.0,0.3,0.4,-0.1,0.3,0.4,1.3,0.6,0.9,0.3
" "," ","02.1 Alkoholiske drikkevarer",-0.8,-1.5,-0.1,0.6,0.1,-0.9,-0.3,0.2,2.3,0.4,1.1,0.1
" "," ","02.2 Tobak",0.0,0.1,0.1,0.1,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.4
" "," ","03. Beklædning og fodtøj",-1.9,0.0,0.5,-0.1,-0.3,-0.2,2.7,1.7,-0.7,0.0,-0.6,0.9
" "," ","03.1 Beklædning",-3.1,-1.4,-0.9,-1.2,-1.3,-1.6,1.5,0.5,-1.9,-1.2,-1.7,-0.3
" "," ","03.2 Fodtøj",5.1,7.6,8.0,6.4,5.6,7.2,10.0,8.2,6.5,6.8,5.8,7.1
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.0,0.0,0.0,-0.1,0.0,-0.1,0.1,-0.1,-0.1,-0.5,-0.5,-0.5
" "," ","04.1 Faktisk husleje",1.8,1.9,1.7,2.2,1.9,1.9,2.4,2.3,1.8,1.8,1.9,1.8
" "," ","04.2 Beregnet lejeværdi af bolig",1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
" "," ","04.3 Vedligeholdelse og reparation af bolig",2.1,2.3,1.1,1.7,2.5,1.9,1.3,1.5,1.1,1.9,2.6,2.1
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
" "," ","04.5 Elektricitet, gas og andet brændsel",-5.1,-5.3,-5.1,-5.9,-5.6,-5.9,-5.7,-6.4,-5.6,-7.4,-7.9,-7.7
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",-1.8,0.4,0.9,-0.2,0.0,2.0,2.0,0.6,1.5,1.1,0.4,1.2
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",-3.7,0.8,2.1,-0.6,0.5,3.6,4.1,1.1,2.6,2.8,0.3,3.1
" "," ","05.2 Boligtekstiler",0.2,1.9,0.6,0.1,1.5,2.4,2.6,-1.4,0.3,-0.1,3.0,1.3
" "," ","05.3 Husholdningsapparater og reparation heraf",-1.9,-2.4,-0.4,0.2,-2.1,-0.2,-0.8,0.4,0.0,-1.7,-0.7,-0.1
" "," ","05.4 Glas, service og husholdningsredskaber",0.5,2.1,0.3,-0.2,0.2,2.7,-0.3,2.5,1.2,0.9,-0.3,-2.8
" "," ","05.5 Værktøj og udstyr til hus og have",0.0,0.7,0.6,-1.1,-0.7,-0.5,0.2,-0.3,2.5,1.0,1.1,1.1
" "," ","05.6 Andre varer og tjenester til husholdningen",0.9,0.9,0.0,0.9,0.5,0.2,0.3,-0.1,0.4,-0.1,-0.2,-0.1
" "," ","06. Sundhed",0.6,0.6,0.9,1.4,1.4,1.5,1.0,1.0,1.0,0.4,0.1,-0.1
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",-0.5,-0.4,0.2,1.0,0.8,1.1,0.1,0.2,0.0,-0.2,-0.9,-1.2
" "," ","06.2 Ambulant behandling",1.7,1.7,1.7,2.1,2.1,2.1,2.1,2.1,2.1,1.2,1.2,1.2
" "," ","06.3 Hospitalstjenester",0.5,0.3,0.3,0.3,0.3,0.3,0.0,-0.3,-0.3,0.3,0.3,0.3
" "," ","07. Transport",-2.7,-1.5,-0.7,-0.5,0.1,-0.2,-0.1,-1.0,-2.2,-1.7,-1.4,-0.5
" "," ","07.1 Køb af køretøjer",1.1,0.6,0.6,0.3,0.3,0.3,0.2,0.2,0.0,-0.5,0.1,-1.0
" "," ","07.2 Drift af personlige transportmidler",-5.6,-2.8,-1.4,-1.1,-0.5,-0.9,-0.6,-2.0,-4.0,-3.0,-2.5,-0.4
" "," ","07.3 Transporttjenester",1.1,0.3,-0.2,1.3,5.4,2.5,1.9,2.3,2.0,1.1,1.1,0.4
" "," ","08. Kommunikation",-4.8,-4.9,-3.3,-3.4,-3.4,-5.5,-5.0,-5.3,-5.6,-5.4,-4.8,-4.0
" "," ","08.1 Posttjenester",8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
" "," ","08.2 Telefon- og telefaxudstyr",-9.6,-8.8,-6.7,-5.9,-3.3,-2.5,-2.2,-2.0,-1.9,-1.5,1.4,2.7
" "," ","08.3 Teletjenester",-4.5,-4.9,-3.5,-3.7,-4.1,-6.9,-6.5,-6.7,-7.3,-6.9,-6.7,-5.7
" "," ","09. Fritid og kultur",0.8,1.3,1.2,1.5,1.4,1.5,1.1,1.3,0.8,1.3,1.5,1.1
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-5.8,-4.8,-3.5,-2.7,-2.1,-2.4,-2.7,-3.6,-4.0,-4.6,-2.4,-1.9
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",-0.9,0.3,0.7,0.7,1.0,1.3,0.9,1.1,1.2,2.2,2.4,2.4
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",1.0,-0.7,0.1,0.8,0.3,-2.2,-1.6,-1.3,-1.9,-2.6,-1.9,-1.5
" "," ","09.4 Fritids- og kulturtjenester",1.5,1.4,1.6,1.0,1.1,0.9,1.0,1.1,0.6,1.2,1.3,1.4
" "," ","09.5 Aviser, bøger og papirvarer",11.2,5.8,8.3,12.4,11.3,15.5,6.9,13.0,13.2,17.6,14.0,9.0
" "," ","09.6 Pakkerejser",1.1,3.9,2.2,-0.7,-0.3,1.4,0.4,1.1,0.7,2.2,3.2,2.4
" "," ","10. Uddannelse",2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,3.9,3.3,3.3,3.3
" "," ","11. Restauranter og hoteller",1.4,1.3,1.8,1.6,1.5,1.3,0.4,0.8,1.0,0.6,0.5,0.6
" "," ","11.1 Restauranter, cafeer og kantiner mv.",1.4,1.7,1.8,1.7,1.6,1.8,0.7,0.7,0.6,0.3,0.4,0.3
" "," ","11.2 Overnatningsfaciliteter",0.7,-3.6,1.3,0.0,-3.9,-8.5,-3.4,0.9,2.4,2.6,2.0,5.0
" "," ","12. Andre varer og tjenester",1.5,1.5,1.7,1.5,1.5,1.4,2.8,3.4,3.4,3.3,3.5,3.4
" "," ","12.1 Personlig pleje",0.2,0.1,0.5,1.1,0.7,0.6,0.3,0.2,0.3,-0.8,0.8,0.3
" "," ","12.3 Andre personlige effekter",-0.6,-0.4,-0.5,-0.5,-0.9,-0.9,-0.3,0.3,0.3,0.2,-0.5,-0.6
" "," ","12.4 Daginstitutioner og social forsorg",-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.1,1.7,1.7,1.7,1.7,1.7
" "," ","12.5 Forsikring",2.3,2.3,2.3,1.7,1.7,1.7,2.4,2.4,2.4,1.9,1.9,1.9
" "," ","12.6 Finansielle tjenester",4.4,4.4,4.4,3.8,4.0,4.0,8.1,8.1,8.1,9.1,9.1,9.1
" "," ","12.7 Andre tjenester",1.8,1.8,2.4,2.6,2.6,2.6,2.5,2.5,2.2,2.4,2.4,2.0
" ","700.000 - 999.999 kr."
" "," ","00 Forbrugerprisindekset i alt",-0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.5,0.3,0.3,0.3,0.4
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",0.3,0.2,1.2,1.3,1.2,1.5,1.1,0.9,1.5,1.3,0.8,1.3
" "," ","01.1 Fødevarer",0.7,0.2,1.2,1.2,1.4,2.0,1.2,1.2,1.6,1.3,1.1,1.8
" "," ","01.2 Ikke-alkoholiske drikkevarer",-2.3,1.0,1.4,2.3,-1.3,-2.3,-0.2,-1.6,0.7,1.0,-1.4,-3.9
" "," ","02. Alkoholiske drikkevarer og tobak",-0.2,-0.5,0.1,0.4,0.5,0.1,0.4,0.5,1.4,0.7,1.0,0.4
" "," ","02.1 Alkoholiske drikkevarer",-0.5,-1.3,0.2,0.7,0.3,-0.6,-0.1,0.5,2.4,0.7,1.3,0.3
" "," ","02.2 Tobak",0.0,0.1,0.1,0.1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5
" "," ","03. Beklædning og fodtøj",-2.0,0.0,0.9,0.4,0.3,0.1,3.2,2.2,-0.3,0.6,-0.2,1.2
" "," ","03.1 Beklædning",-3.6,-1.6,-0.9,-1.3,-1.2,-1.9,1.2,0.5,-1.9,-1.1,-1.8,-0.2
" "," ","03.2 Fodtøj",4.4,6.7,8.2,7.2,6.7,8.1,10.6,8.9,6.5,7.2,6.1,7.3
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.0,-0.1,-0.1
" "," ","04.1 Faktisk husleje",1.8,1.8,1.8,2.1,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8
" "," ","04.2 Beregnet lejeværdi af bolig",1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
" "," ","04.3 Vedligeholdelse og reparation af bolig",2.2,2.8,1.1,1.9,3.2,2.6,1.4,1.9,0.7,2.2,2.8,2.4
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
" "," ","04.5 Elektricitet, gas og andet brændsel",-3.9,-4.2,-4.1,-4.6,-4.5,-4.6,-4.6,-5.1,-4.1,-5.9,-6.4,-6.3
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",-0.8,0.8,1.1,-0.1,0.2,2.1,1.6,0.9,1.7,1.2,0.8,1.0
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",-2.0,2.0,2.4,0.1,1.1,4.7,4.0,1.8,2.8,3.2,1.0,2.8
" "," ","05.2 Boligtekstiler",-1.3,1.4,1.4,-0.9,1.2,1.7,2.2,-1.6,0.3,0.2,3.5,1.0
" "," ","05.3 Husholdningsapparater og reparation heraf",-0.9,-2.5,-0.2,0.1,-1.3,0.8,0.1,0.9,1.1,-0.5,0.3,0.2
" "," ","05.4 Glas, service og husholdningsredskaber",0.2,2.2,0.5,0.4,0.6,3.3,1.0,3.2,1.6,1.5,0.6,-1.5
" "," ","05.5 Værktøj og udstyr til hus og have",0.6,0.9,1.1,-1.5,-1.1,-1.2,-0.5,-0.6,2.0,0.2,0.2,0.5
" "," ","05.6 Andre varer og tjenester til husholdningen",0.8,1.0,-0.3,0.7,0.3,0.0,0.0,-0.3,0.2,-0.2,-0.2,-0.3
" "," ","06. Sundhed",0.5,0.8,1.0,1.3,1.0,1.1,0.2,0.2,-0.5,-1.1,-1.2,-1.1
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",-0.9,-0.2,0.2,0.6,-0.1,0.0,-1.7,-1.9,-3.4,-3.7,-3.8,-3.9
